LCT,n,gamma_detection_method,beta_detection_method,alpha_detection_method
Allosmerus elongatus,1,only trawl,only trawl,only trawl
Alosa sapidissima,7,both eDNA/trawl,both eDNA/trawl,only eDNA
Alosa sapidissima,7,both eDNA/trawl,both eDNA/trawl,only trawl
Ammodytes hexapterus,7,both eDNA/trawl,only eDNA,only eDNA
Ammodytes hexapterus,7,both eDNA/trawl,both eDNA/trawl,only eDNA
Ammodytes hexapterus,7,both eDNA/trawl,both eDNA/trawl,only trawl
Anoplarchus insignis/purpurescens,2,only eDNA,only eDNA,only eDNA
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,only eDNA
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,only trawl
Artedius harringtoni,1,only eDNA,only eDNA,only eDNA
Artedius lateralis,1,only eDNA,only eDNA,only eDNA
Ascelichthys rhodorus,1,only eDNA,only eDNA,only eDNA
Atheresthes stomias,3,only eDNA,only eDNA,only eDNA
Beringraja binoculata,1,only eDNA,only eDNA,only eDNA
Citharichthys sordidus,10,only eDNA,only eDNA,only eDNA
Citharichthys stigmaeus,6,only eDNA,only eDNA,only eDNA
Clinocottus acuticeps,1,only eDNA,only eDNA,only eDNA
Clupea pallasii,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Clupea pallasii,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Cryptacanthodes aleutensis,1,only eDNA,only eDNA,only eDNA
Cymatogaster aggregata,6,only eDNA,only eDNA,only eDNA
Diaphus theta,5,both eDNA/trawl,both eDNA/trawl,only eDNA
Diaphus theta,5,both eDNA/trawl,only trawl,only trawl
Diaphus theta,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Embiotoca lateralis,4,only eDNA,only eDNA,only eDNA
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,only eDNA
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,only trawl
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Enophrys bison,1,only eDNA,only eDNA,only eDNA
Entosphenus tridentatus,1,only trawl,only trawl,only trawl
Eopsetta jordani,3,only eDNA,only eDNA,only eDNA
Gadus chalcogrammus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Gadus chalcogrammus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Glyptocephalus zachirus,13,only eDNA,only eDNA,only eDNA
Gobiesox maeandricus,2,only eDNA,only eDNA,only eDNA
Hexagrammos decagrammus,7,only eDNA,only eDNA,only eDNA
Hippoglossoides elassodon,2,only eDNA,only eDNA,only eDNA
Hippoglossus stenolepis,5,only eDNA,only eDNA,only eDNA
Hydrolagus colliei,3,only eDNA,only eDNA,only eDNA
Icelinus borealis,1,only eDNA,only eDNA,only eDNA
Lepidopsetta bilineata,1,only eDNA,only eDNA,only eDNA
Leptoclinus maculatus,1,only eDNA,only eDNA,only eDNA
Liparidae1,1,only eDNA,only eDNA,only eDNA
Liparis dennyi/fucensis,3,only eDNA,only eDNA,only eDNA
Liparis fucensis,1,only eDNA,only eDNA,only eDNA
Liparis mucosus,2,only eDNA,only eDNA,only eDNA
Lyopsetta exilis,2,only eDNA,only eDNA,only eDNA
Mallotus villosus,2,both eDNA/trawl,only eDNA,only eDNA
Mallotus villosus,2,both eDNA/trawl,only trawl,only trawl
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Microstomus pacificus,8,only eDNA,only eDNA,only eDNA
Odontopyxis trispinosa,1,only eDNA,only eDNA,only eDNA
Oligocottus maculosus/snyderi,2,only eDNA,only eDNA,only eDNA
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,15,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus keta,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,11,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus kisutch,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,11,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus mykiss,1,only eDNA,only eDNA,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus tshawytscha,15,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Ophiodon elongatus,1,only eDNA,only eDNA,only eDNA
Parophrys vetulus,1,only trawl,only trawl,only trawl
Pholis laeta,11,only eDNA,only eDNA,only eDNA
Pholis laeta/ornata,2,only eDNA,only eDNA,only eDNA
Phytichthys chirus,6,only eDNA,only eDNA,only eDNA
Psettichthys melanostictus,1,only eDNA,only eDNA,only eDNA
Reinhardtius hippoglossoides,1,only trawl,only trawl,only trawl
Sebastes,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Sebastes,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Sebastolobus alascanus/altivelis,1,only eDNA,only eDNA,only eDNA
Spirinchus starksi,1,only trawl,only trawl,only trawl
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Thaleichthys pacificus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Xiphister atropurpureus/mucosus,5,only eDNA,only eDNA,only eDNA
Zoarcidae,1,only trawl,only trawl,only trawl
