kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,subspecies,subspecies_id,ids,in_range
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa alosa,Alosa alosa,1,44,538,7332,2412615,2412685,NA,NA,NA,NA,Alosa alosa,n
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,1,44,538,7332,2412615,2412623,NA,NA,NA,NA,Alosa fallax,n
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,NA,NA,Alosa sapidissima,y
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,NA,NA,Ammodytes japonicus,n
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,NA,NA,Ammodytes personatus,y
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,NA,NA,Anoplarchus insignis,y
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,NA,NA,Anoplarchus purpurescens,y
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,NA,NA,Anoplopoma fimbria,y
Animalia,Chordata,Gadiformes,Gadidae,Arctogadus,Arctogadus glacialis,Arctogadus glacialis,1,44,549,3701,2415881,2415882,NA,NA,NA,NA,Arctogadus glacialis,n
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,Artedius harringtoni,1,44,590,8621,2333960,2333963,NA,NA,NA,NA,Artedius harringtoni,y
Animalia,Chordata,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,Ascelichthys rhodorus,1,44,590,8621,2334020,2334021,NA,NA,NA,NA,Ascelichthys rhodorus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,NA,NA,Atheresthes evermanni,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,Atheresthes stomias,1,44,588,8611,2409090,2409091,NA,NA,NA,NA,Atheresthes stomias,y
Animalia,Chordata,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,Beringraja binoculata,1,44,884,5877,7554168,7913005,Elasmobranchii,121,NA,NA,Beringraja binoculata,y
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,NA,NA,Citharichthys sordidus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Cleisthenes,Cleisthenes herzensteini,Cleisthenes herzensteini,1,44,588,8611,2409136,2409139,NA,NA,NA,NA,Cleisthenes herzensteini,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Cleisthenes,Cleisthenes pinetorum,Cleisthenes pinetorum,1,44,588,8611,2409136,2409137,NA,NA,NA,NA,Cleisthenes pinetorum,n
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,Clinocottus acuticeps,1,44,590,8621,2333865,2333873,NA,NA,NA,NA,Clinocottus acuticeps,y
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,NA,NA,Clupea harengus,n
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,NA,NA,Clupea pallasii,y
Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,NA,NA,Cymatogaster aggregata,y
Animalia,Chordata,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,Diaphus theta,1,44,1306,4217,2406168,2406199,NA,NA,NA,NA,Diaphus theta,y
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,NA,NA,Engraulis mordax,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani,1,44,588,8611,2409233,2409237,NA,NA,NA,NA,Eopsetta jordani,y
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,NA,NA,Gadus chalcogrammus,y
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,NA,NA,Gadus macrocephalus,n
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,NA,NA,Gadus morhua,n
Animalia,Chordata,Carcharhiniformes,Triakidae,Galeorhinus,Galeorhinus galeus,Galeorhinus galeus,1,44,887,2206,2418258,2418259,Elasmobranchii,121,NA,NA,Galeorhinus galeus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,NA,NA,Glyptocephalus stelleri,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,NA,NA,Glyptocephalus zachirus,y
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,NA,NA,Gobiesox maeandricus,y
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,NA,NA,Hexagrammos decagrammus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides dubius,Hippoglossoides dubius,1,44,588,8611,2409098,2409102,NA,NA,NA,NA,Hippoglossoides dubius,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon,1,44,588,8611,2409098,2409109,NA,NA,NA,NA,Hippoglossoides elassodon,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,1,44,588,8611,2409098,2409104,NA,NA,NA,NA,Hippoglossoides platessoides,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides robustus,Hippoglossoides robustus,1,44,588,8611,2409098,2409099,NA,NA,NA,NA,Hippoglossoides robustus,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,NA,NA,Hippoglossus stenolepis,y
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,NA,NA,Hydrolagus colliei,y
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,Hyperoplus immaculatus,1,44,587,8487,2390011,2390012,NA,NA,NA,NA,Hyperoplus immaculatus,n
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,Icelinus borealis,1,44,590,8621,2334346,2334359,NA,NA,NA,NA,Icelinus borealis,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,NA,NA,Isopsetta isolepis,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,Lepidopsetta bilineata,1,44,588,8611,5213905,5213939,NA,NA,NA,NA,Lepidopsetta bilineata,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta polyxystra,Lepidopsetta polyxystra,1,44,588,8611,5213905,5213938,NA,NA,NA,NA,Lepidopsetta polyxystra,n
Animalia,Chordata,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus,1,44,587,8598,2394831,2394832,NA,NA,NA,NA,Leptoclinus maculatus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda aspera,Limanda aspera,1,44,588,8611,5213949,5213950,NA,NA,NA,NA,Limanda aspera,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda ferruginea,Myzopsetta ferruginea,1,44,588,8611,5213949,5213953,NA,NA,NA,NA,Myzopsetta ferruginea,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda limanda,Limanda limanda,1,44,588,8611,5213949,5213960,NA,NA,NA,NA,Limanda limanda,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda proboscidea,Myzopsetta proboscidea,1,44,588,8611,5213949,5213962,NA,NA,NA,NA,Myzopsetta proboscidea,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda sakhalinensis,Limanda sakhalinensis,1,44,588,8611,5213949,5213969,NA,NA,NA,NA,Limanda sakhalinensis,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Liopsetta,Liopsetta glacialis,Liopsetta glacialis,1,44,588,8611,2409258,2409263,NA,NA,NA,NA,Liopsetta glacialis,n
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis florae,Liparis florae,1,44,590,8627,2335959,5201520,NA,NA,NA,NA,Liparis florae,y
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,NA,NA,Liparis fucensis,y
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,Liparis mucosus,1,44,590,8627,2335959,5201509,NA,NA,NA,NA,Liparis mucosus,y
Animalia,Chordata,Scorpaeniformes,Liparidae,Lipariscus,Lipariscus nanus,Lipariscus nanus,1,44,590,8627,2336408,2336409,NA,NA,NA,NA,Lipariscus nanus,y
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,NA,NA,Lycodapus microchir,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,NA,NA,Lyopsetta exilis,y
Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,1,44,1068,8480,2410910,5214420,NA,NA,NA,NA,Mallotus villosus,n
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius angustimanus,Merluccius angustimanus,1,44,549,3703,2415629,2415679,NA,NA,NA,NA,Merluccius angustimanus,n
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,NA,NA,Merluccius productus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,NA,NA,Microstomus pacificus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,Sebastes,1,44,590,8633,2333712,NA,NA,NA,NA,NA,Sebastes,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus apache,Oncorhynchus gilae apache,1,44,1313,8615,2351426,5204012,NA,NA,Oncorhynchus gilae apache,5204013,Oncorhynchus gilae apache,n
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii lewisi,1,44,1313,8615,2351426,5711980,NA,NA,Oncorhynchus clarkii lewisi,5711983,Oncorhynchus clarkii lewisi,n
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gilae,Oncorhynchus gilae,1,44,1313,8615,2351426,5204032,NA,NA,NA,NA,Oncorhynchus gilae,n
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,NA,NA,NA,NA,Oncorhynchus gorbuscha,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kawamurae,Oncorhynchus kawamurae,1,44,1313,8615,2351426,5961610,NA,NA,NA,NA,Oncorhynchus kawamurae,n
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,NA,NA,Oncorhynchus keta,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,NA,NA,Oncorhynchus kisutch,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,1,44,1313,8615,2351426,5204019,NA,NA,NA,NA,Oncorhynchus mykiss,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss irideus,1,44,1313,8615,2351426,5204019,NA,NA,Oncorhynchus mykiss irideus,5711995,Oncorhynchus mykiss irideus,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss newberrii,1,44,1313,8615,2351426,5204019,NA,NA,NA,NA,Oncorhynchus mykiss newberrii,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss gairdneri,1,44,1313,8615,2351426,5204019,NA,NA,Oncorhynchus mykiss gairdnerii,5711994,Oncorhynchus mykiss gairdneri,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,NA,NA,Oncorhynchus nerka,y
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,NA,NA,Oncorhynchus tshawytscha,y
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,Ophiodon elongatus,1,44,590,8626,2336520,2336521,NA,NA,NA,NA,Ophiodon elongatus,y
Animalia,Chordata,Osmeriformes,Osmeridae,Osmerus,Osmerus eperlanus,Osmerus eperlanus,1,44,1068,8480,2401117,2410854,NA,NA,NA,NA,Osmerus eperlanus,n
Animalia,Chordata,Scorpaeniformes,Liparidae,Paraliparis,Paraliparis garmani,Paraliparis garmani,1,44,590,8627,2336274,2336334,NA,NA,NA,NA,Paraliparis garmani,n
Animalia,Chordata,Scorpaeniformes,Liparidae,Paraliparis,Paraliparis rosaceus,Paraliparis rosaceus,1,44,590,8627,2336274,2336296,NA,NA,NA,NA,Paraliparis rosaceus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,Parophrys vetulus,1,44,588,8611,2409369,2409370,NA,NA,NA,NA,Parophrys vetulus,n
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,Pholis laeta,1,44,587,8576,2390397,5210424,NA,NA,NA,NA,Pholis laeta,y
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis ornata,Pholis ornata,1,44,587,8576,2390397,5210410,NA,NA,NA,NA,Pholis ornata,y
Animalia,Chordata,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus,1,44,587,8598,2394820,2394821,NA,NA,NA,NA,Phytichthys chirus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,Platichthys flesus,1,44,588,8611,2409326,2409330,NA,NA,NA,NA,Platichthys flesus,n
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatus,1,44,588,8611,2409326,2409327,NA,NA,NA,NA,Platichthys stellatus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatuss,1,44,588,8611,2409326,2409327,NA,NA,NA,NA,Platichthys stellatuss,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatus x (Platichthys stellatuss),1,44,588,8611,2409326,2409327,NA,NA,Platichthys stellatus stellatus,9564996,Platichthys stellatus x (Platichthys stellatuss),y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,Psettichthys melanostictus,1,44,588,8611,2408960,2409051,NA,NA,NA,NA,Psettichthys melanostictus,y
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,Pseudopleuronectes americanus,1,44,588,8611,2409055,2409062,NA,NA,NA,NA,Pseudopleuronectes americanus,n
Animalia,Chordata,Scorpaeniformes,Liparidae,Rhinoliparis,Rhinoliparis barbulifer,Rhinoliparis barbulifer,1,44,590,8627,2336096,2336097,NA,NA,NA,NA,Rhinoliparis barbulifer,y
Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,1,44,1313,8615,2347608,7595433,NA,NA,NA,NA,Salmo salar,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes aleutianus,Sebastes aleutianus,1,44,590,8633,2333712,2335422,NA,NA,NA,NA,Sebastes aleutianus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus,1,44,590,8633,2333712,2335557,NA,NA,NA,NA,Sebastes alutus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes babcocki,Sebastes babcocki,1,44,590,8633,2333712,2335374,NA,NA,NA,NA,Sebastes babcocki,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,Sebastes baramenuke,1,44,590,8633,2333712,2335483,NA,NA,NA,NA,Sebastes baramenuke,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes brevispinis,Sebastes brevispinis,1,44,590,8633,2333712,2335560,NA,NA,NA,NA,Sebastes brevispinis,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,Sebastes cheni,1,44,590,8633,2333712,4286373,NA,NA,NA,NA,Sebastes cheni,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ciliatus,Sebastes ciliatus,1,44,590,8633,2333712,2335476,NA,NA,NA,NA,Sebastes ciliatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,Sebastes constellatus,1,44,590,8633,2333712,2335457,NA,NA,NA,NA,Sebastes constellatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,Sebastes crameri,1,44,590,8633,2333712,2335443,NA,NA,NA,NA,Sebastes crameri,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,Sebastes diploproa,1,44,590,8633,2333712,2335406,NA,NA,NA,NA,Sebastes diploproa,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes elongatus,Sebastes elongatus,1,44,590,8633,2333712,2335441,NA,NA,NA,NA,Sebastes elongatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes emphaeus,Sebastes emphaeus,1,44,590,8633,2333712,2335372,NA,NA,NA,NA,Sebastes emphaeus,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes eos,Sebastes eos,1,44,590,8633,2333712,2335572,NA,NA,NA,NA,Sebastes eos,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes exsul,Sebastes exsul,1,44,590,8633,2333712,2335547,NA,NA,NA,NA,Sebastes exsul,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,Sebastes flavidus,1,44,590,8633,2333712,2335500,NA,NA,NA,NA,Sebastes flavidus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,Sebastes goodei,1,44,590,8633,2333712,2335531,NA,NA,NA,NA,Sebastes goodei,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes helvomaculatus,Sebastes helvomaculatus,1,44,590,8633,2333712,2335394,NA,NA,NA,NA,Sebastes helvomaculatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hubbsi,Sebastes hubbsi,1,44,590,8633,2333712,2335535,NA,NA,NA,NA,Sebastes hubbsi,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,NA,NA,Sebastes joyneri,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes macdonaldi,Sebastes macdonaldi,1,44,590,8633,2333712,2335453,NA,NA,NA,NA,Sebastes macdonaldi,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,Sebastes melanops,1,44,590,8633,2333712,2335569,NA,NA,NA,NA,Sebastes melanops,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanosema,Sebastes melanosema,1,44,590,8633,2333712,2335529,NA,NA,NA,NA,Sebastes melanosema,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,Sebastes melanostictus,1,44,590,8633,2333712,8416044,NA,NA,NA,NA,Sebastes melanostictus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,Sebastes miniatus,1,44,590,8633,2333712,2335381,NA,NA,NA,NA,Sebastes miniatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Sebastes mystinus,1,44,590,8633,2333712,2335366,NA,NA,NA,NA,Sebastes mystinus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,Sebastes nebulosus,1,44,590,8633,2333712,2335508,NA,NA,NA,NA,Sebastes nebulosus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,Sebastes ovalis,1,44,590,8633,2333712,2335567,NA,NA,NA,NA,Sebastes ovalis,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,NA,NA,NA,NA,Sebastes pachycephalus,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,Sebastes phillipsi,1,44,590,8633,2333712,2335550,NA,NA,NA,NA,Sebastes phillipsi,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes polyspinis,Sebastes polyspinis,1,44,590,8633,2333712,2335506,NA,NA,NA,NA,Sebastes polyspinis,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,Sebastes proriger,1,44,590,8633,2333712,2335489,NA,NA,NA,NA,Sebastes proriger,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes reedi,Sebastes reedi,1,44,590,8633,2333712,2335448,NA,NA,NA,NA,Sebastes reedi,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,Sebastes rosaceus,1,44,590,8633,2333712,2335450,NA,NA,NA,NA,Sebastes rosaceus,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosenblatti,Sebastes rosenblatti,1,44,590,8633,2333712,2335437,NA,NA,NA,NA,Sebastes rosenblatti,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ruberrimus,Sebastes ruberrimus,1,44,590,8633,2333712,2335415,NA,NA,NA,NA,Sebastes ruberrimus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,Sebastes rubrivinctus,1,44,590,8633,2333712,2335388,NA,NA,NA,NA,Sebastes rubrivinctus,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,Sebastes serriceps,1,44,590,8633,2333712,2335522,NA,NA,NA,NA,Sebastes serriceps,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes simulator,Sebastes simulator,1,44,590,8633,2333712,2335424,NA,NA,NA,NA,Sebastes simulator,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variabilis,Sebastes variabilis,1,44,590,8633,2333712,2335481,NA,NA,NA,NA,Sebastes variabilis,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variegatus,Sebastes variegatus,1,44,590,8633,2333712,2335412,NA,NA,NA,NA,Sebastes variegatus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ventricosus,Sebastes ventricosus,1,44,590,8633,2333712,2335386,NA,NA,NA,NA,Sebastes ventricosus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes wilsoni,Sebastes wilsoni,1,44,590,8633,2333712,2335485,NA,NA,NA,NA,Sebastes wilsoni,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes zacentrus,Sebastes zacentrus,1,44,590,8633,2333712,2335429,NA,NA,NA,NA,Sebastes zacentrus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,NA,NA,Sebastiscus marmoratus,n
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus alascanus,Sebastolobus alascanus,1,44,590,8633,2335321,2335323,NA,NA,NA,NA,Sebastolobus alascanus,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus altivelis,Sebastolobus altivelis,1,44,590,8633,2335321,2335322,NA,NA,NA,NA,Sebastolobus altivelis,y
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus macrochir,Sebastolobus macrochir,1,44,590,8633,2335321,2335324,NA,NA,NA,NA,Sebastolobus macrochir,n
Animalia,Chordata,Osmeriformes,Osmeridae,Spirinchus,Spirinchus lanceolatus,Spirinchus lanceolatus,1,44,1068,8480,2410894,2410895,NA,NA,NA,NA,Spirinchus lanceolatus,n
Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,1,44,538,7332,2413443,2413452,NA,NA,NA,NA,Sprattus sprattus,n
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,NA,NA,Squalus acanthias,n
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi,1,44,883,5872,2420869,5216380,Elasmobranchii,121,NA,NA,Squalus suckleyi,y
Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,NA,NA,NA,NA,Thaleichthys pacificus,y