level,LCT,class,order,family,genus,species,all_species
species,Alosa sapidissima,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima
species,Ammodytes personatus,NA,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,Ammodytes personatus
species,Anoplopoma fimbria,NA,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
species,Artedius harringtoni,NA,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,Artedius harringtoni
species,Ascelichthys rhodorus,NA,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,Ascelichthys rhodorus
species,Atheresthes stomias,NA,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,Atheresthes stomias
species,Beringraja binoculata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,Beringraja binoculata
species,Citharichthys sordidus,NA,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus
species,Clinocottus acuticeps,NA,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,Clinocottus acuticeps
species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
species,Cymatogaster aggregata,NA,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata
species,Diaphus theta,NA,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,Diaphus theta
species,Engraulis mordax,NA,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,Engraulis mordax
species,Eopsetta jordani,NA,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani
species,Gadus chalcogrammus,NA,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
species,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Galeorhinus galeus,Galeorhinus galeus
species,Glyptocephalus zachirus,NA,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
species,Gobiesox maeandricus,NA,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus
species,Hexagrammos decagrammus,NA,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus
species,Hippoglossoides elassodon,NA,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon
species,Hippoglossus stenolepis,NA,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,Hippoglossus stenolepis
species,Hydrolagus colliei,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei
species,Icelinus borealis,NA,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,Icelinus borealis
species,Lepidopsetta bilineata,NA,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,Lepidopsetta bilineata
species,Leptoclinus maculatus,NA,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus
species,Liparis florae,NA,Scorpaeniformes,Liparidae,Liparis,Liparis florae,Liparis florae
species,Liparis fucensis,NA,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,Liparis fucensis
species,Liparis mucosus,NA,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,Liparis mucosus
species,Lyopsetta exilis,NA,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis
species,Merluccius productus,NA,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
species,Microstomus pacificus,NA,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus
species,Oncorhynchus gorbuscha,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
species,Oncorhynchus kisutch,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch
species,Oncorhynchus tshawytscha,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
species,Ophiodon elongatus,NA,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,Ophiodon elongatus
species,Phytichthys chirus,NA,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus
species,Psettichthys melanostictus,NA,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,Psettichthys melanostictus
species,Sebastes,NA,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,Sebastes
species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
species,Thaleichthys pacificus,NA,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus
NA,NA,NA,NA,NA,NA,NA,NA
genus,Oncorhynchus keta,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,"Oncorhynchus keta, Oncorhynchus nerka"
genus,Anoplarchus insignis/purpurescens,NA,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis/purpurescens,"Anoplarchus insignis, Anoplarchus purpurescens"
genus,Oncorhynchus mykiss,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,"Oncorhynchus mykiss, Oncorhynchus mykiss, Oncorhynchus mykiss, Oncorhynchus mykiss"
genus,Pholis laeta/ornata,NA,Perciformes,Pholidae,Pholis,Pholis laeta/ornata,"Pholis laeta, Pholis ornata"
genus,Platichthys stellatus,NA,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,"Platichthys stellatus, Platichthys stellatus, Platichthys stellatus"
genus,Sebastes,NA,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,"Sebastes aleutianus, Sebastes alutus, Sebastes babcocki, Sebastes brevispinis, Sebastes cheni, Sebastes constellatus, Sebastes elongatus, Sebastes eos, Sebastes exsul, Sebastes flavidus, Sebastes goodei, Sebastes helvomaculatus, Sebastes melanops, Sebastes melanostictus, Sebastes miniatus, Sebastes phillipsi, Sebastes proriger, Sebastes rosenblatti, Sebastes ruberrimus, Sebastes simulator, Sebastes variegatus, Sebastes ventricosus, Sebastes wilsoni, Sebastes zacentrus"
genus,Sebastes,NA,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,"Sebastes ciliatus, Sebastes crameri, Sebastes diploproa, Sebastes polyspinis, Sebastes reedi, Sebastes variabilis"
genus,Sebastes,NA,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,"Sebastes ciliatus, Sebastes crameri, Sebastes polyspinis, Sebastes reedi, Sebastes variabilis"
genus,Sebastolobus alascanus/altivelis,NA,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus alascanus/altivelis,"Sebastolobus alascanus, Sebastolobus altivelis"
family,Liparidae1,NA,Scorpaeniformes,Liparidae,Liparidae1,Liparidae1,"Lipariscus nanus, Paraliparis rosaceus, Rhinoliparis barbulifer"
